Location_name,Literature,Cultural_Significance,Distinctive_Feature,Latitude,Longitude,Google_Maps_Link,Official_Website,Category
Bideford,"The Witch Hunter (Bernard Knight, 2004)","Set against a backdrop of religious conflict and superstition, this Crowner John mystery reflects the atmosphere of North Devon's coastal communities during the medieval period.",Historic port town on the River Torridge with a long maritime history and easy access to the dramatic North Devon coast.,51.0167,-4.2083,https://maps.app.goo.gl/zPZFNiFtzWiq7wUX8,https://www.visitdevon.co.uk/northdevon/explore/villages-towns/bideford/,Literary
Braunton,"The Secret of Crickley Hall (James Herbert, 2006)","James Herbert lived in North Devon and drew inspiration from the region's dramatic coastline, estuaries and atmospheric landscapes. The Secret of Crickley Hall is one of his most acclaimed novels and was later adapted for television.","Large village close to Saunton Sands, Braunton Burrows and the North Devon coast, providing the landscape that influenced some of Herbert's later work.",51.1087,-4.1616,https://maps.app.goo.gl/GUDHtScviQhnQCks6,https://www.visitdevon.co.uk/explore/cities-towns-and-villages/braunton/,Literary
Burgh Island,"And Then There Were None (Agatha Christie, 1939)
Evil Under the Sun (Agatha Christie, 1941)","Strongly associated with Agatha Christie.  The Art Deco Burgh Island Hotel hosted writers, politicians and celebrities.",Tidal island connected to the mainland by a causeway and sea tractor.,50.28012605,-3.899875246,https://maps.app.goo.gl/uX7f5zUHiBvYUKtVA,https://www.burghisland.com/,Literary
Dartmoor,"The Tinner's Corpse (Bernard Knight, 2001)
Fear in the Forest (Bernard Knight, 2003)","Several Crowner John mysteries use Dartmoor's remote moorland, ancient trackways and historic tin-mining communities as key locations. The landscape provides an atmospheric setting for murder investigations and medieval intrigue.","Vast upland landscape of granite tors, prehistoric remains and abandoned tin workings that remain recognisable today.",50.5719,-3.9207,https://maps.app.goo.gl/SkXx5vxrwDB4jap98,https://www.dartmoor.gov.uk/,Literary
Dartmouth,"Monsoon (Wilbur Smith, 1999)
A Painted Doom (Kate Ellis, 2000)

","Dartmouth has inspired both crime fiction and historical adventure. In A Painted Doom, Kate Ellis uses the fictional South Devon town of Tradmouth, widely regarded as being based on Dartmouth and the surrounding South Hams, combining contemporary crime investigation with historical themes. In Monsoon, Wilbur Smith opens his seventeenth-century epic in Dartmouth, drawing on the town's maritime importance, shipbuilding traditions and role in overseas trade before the story expands into a global adventure.","Historic port on the River Dart with a rich maritime heritage, narrow streets, a picturesque waterfront and centuries of naval, trading and shipbuilding history. Its distinctive character has provided inspiration for both crime fiction and historical adventure novels.",50.352,-3.5794,https://maps.app.goo.gl/qdc5159mezBmr1p76,https://discoverdartmouth.com/,Literary
Doone Valley,"Lorna Doone (R. D. Blackmore, 1869)","The Doone Valley is the principal setting of R. D. Blackmore's bestselling historical romance Lorna Doone.  The novel transformed Exmoor into one of England's most famous literary landscapes and remains closely associated with the valley today.  The story of John Ridd and Lorna Doone is set among the valleys, moorland and farms of Exmoor.","Remote Exmoor valley with dramatic scenery, Badgworthy Water and strong associations with one of the most influential novels of Victorian England.",51.162,-3.753,https://www.google.com/maps/dir/?api=1&destination=51.216183%2C-3.728033,https://www.nationaltrust.org.uk/visit/devon/lorna-doone-valley,Literary
Exeter,"The Exeter Book (Anonymous, c.970)
A Pair of Blue Eyes (Thomas Hardy, 1873)
The Trumpet-Major (Thomas Hardy, 1880)
The Woodlanders (Thomas Hardy, 1887)
Jude the Obscure (Thomas Hardy, 1895)
The King's General (Daphne du Maurier, 1946)
Emily Goes to Exeter (Martha Grimes, 1981)
The Sanctuary Seeker (Bernard Knight, 1994)
The Poisoned Chalice (Bernard Knight, 1998)
The Grim Reaper (Bernard Knight, 1999)
A Plague of Heretics (Bernard Knight, 2005)
The Elixir of Death (Bernard Knight, 2006)
The Manor of Death (Bernard Knight, 2000)","Exeter occupies a unique place in England's literary history. The city is home to the Exeter Book, one of the most important surviving manuscripts of Old English literature and the source of poems including The Wanderer, The Seafarer and many of the Exeter Riddles.  During the nineteenth century, Thomas Hardy used Exeter as inspiration for his fictional city of Exonbury, weaving it into several of his Wessex novels. The city's medieval streets, cathedral precincts and Civil War history later provided material for authors such as  Daphne du Maurier and Bernard Knight, while modern crime writers including Martha Grimes have continued to use Exeter as a setting. Few Devon locations can demonstrate such a continuous literary tradition, spanning over a thousand years from Anglo-Saxon poetry to contemporary historical and detective fiction.","Historic cathedral city with medieval streets, Cathedral Close, surviving city walls and over a thousand years of literary heritage.",50.718,-3.533,https://maps.app.goo.gl/7ykrh3jsmBqgdL6e6,https://www.visitexeter.com/,Literary
Hound Tor,"The Hound of the Baskervilles (Arthur Conan Doyle, 1902)","Hound Tor is widely believed to have been one of the inspirations for the landscape and atmosphere of The Hound of the Baskervilles.  Its dramatic granite outcrops, isolated setting and proximity to abandoned medieval settlements embody the mysterious character of Dartmoor that features throughout the novel.","Prominent granite tor overlooking the remains of a deserted medieval village, offering one of the most evocative landscapes on Dartmoor.",50.6035,-3.7508,https://maps.app.goo.gl/uqb7FTrdwU82drNx7,https://www.dartmoor.gov.uk/,Literary
Iddesleigh,"War Horse (Michael Morpurgo, 1982)","Michael Morpurgo lived in Devon and was inspired by stories told by local people, including First World War veterans. War Horse became one of Britain's most successful modern novels and was later adapted into an internationally acclaimed stage production and a major film directed by Steven Spielberg.","Small rural Devon village closely associated with Michael Morpurgo and the charity Farms for City Children, which introduced thousands of young people to life in the countryside.",50.8929,-4.0795,https://maps.app.goo.gl/bYeujp9T7YdHxPDbA,https://www.tripadvisor.co.uk/Tourism-g7193820-Iddesleigh_Devon_England-Vacations.html,Literary
Marldon,"Gentian Hill (Elizabeth Goudge, 1949)
The Little White Horse (Elizabeth Goudge, 1946)
The Rosemary Tree (Elizabeth Goudge, 1957)","Elizabeth Goudge lived at Rosemorran in Marldon for many years. The landscapes, villages and atmosphere of South Devon influenced her writing and provided inspiration for several of her best-known novels.","Historic Devon village surrounded by rolling countryside between Dartmoor and the South Devon coast, closely associated with one of the twentieth century's most popular novelists.",50.4455,-3.5965,https://maps.app.goo.gl/rkkZA4UvcikantHd6,https://www.elizabethgoudge.org/,Literary
Berry Pomeroy Castle,"The Castle on the Hill (Elizabeth Goudge, 1941)","Elizabeth Goudge lived in nearby Marldon and drew inspiration from the landscapes, history and folklore of South Devon while writing The Castle on the Hill. Berry Pomeroy Castle is widely associated with the novel and is considered one of the principal inspirations for its setting and atmosphere.","One of Devon's most romantic and mysterious castles, Berry Pomeroy combines medieval ruins, Tudor ambition and local ghost legends. Set within a wooded valley, it is often regarded as one of the most atmospheric historic sites in the county.",50.4493486,-3.635725884,https://maps.app.goo.gl/yj9EPCwSSnDia95h8,https://www.elizabethgoudge.org/,Literary
Torquay,"The Mysterious Affair at Styles (Agatha Christie, 1920)
The Murder of Roger Ackroyd (Agatha Christie, 1926)
Murder on the Orient Express (Agatha Christie, 1934)
And Then There Were None (Agatha Christie, 1939)
Death on the Nile (Agatha Christie, 1937)","Agatha Christie was born at Ashfield, Barton Road, Torquay in 1890 and spent much of her childhood in the town.  Torquay's seafront, hotels, villas and affluent Edwardian society influenced the settings and atmosphere found throughout her novels.  The Agatha Christie Mile links key locations associated with her life, including Torquay Harbour, Princess Pier, Torre Abbey and sites connected to her family and upbringing.",Birthplace of the world's best-selling mystery writer and centre of the Agatha Christie literary trail.,50.4619,-3.5253,https://maps.app.goo.gl/TFwKt2pZr6Uw5VLG6,https://www.iacf-uk.org/,Literary
Upton Pyne,"Sense and Sensibility (Jane Austen, 1811)","In the novel, Barton Cottage is described as being situated on the side of a hill with high hills rising immediately behind it, roughly four miles north of Exeter. Jane Austen used to holiday in the region and it is believed by many historians that the real-life Pynes House, in Upton Pyne may have inspired Barton Park.  The village church where the characters Elinor Dashwood and Edward Ferrars get married.",Historic Devon village associated with one of Jane Austen's best-known novels.,50.75672844,-3.540700516,https://maps.app.goo.gl/bDeS5tJo1pcS1r98A,https://jasna.org/publications-2/persuasions-online/volume-43-no-1/jones/,Literary
